x,f(x),f'(x)
-1.4,0.197816,0.158685
-1.39,0.199408,0.159645
-1.38,0.201009,0.160605
-1.37,0.20262,0.161566
-1.36,0.20424,0.162527
-1.35,0.20587,0.163488
-1.34,0.20751,0.16445
-1.33,0.209159,0.165412
-1.32,0.210818,0.166374
-1.31,0.212487,0.167337
-1.3,0.214165,0.168299
-1.29,0.215853,0.169261
-1.28,0.21755,0.170223
-1.27,0.219257,0.171184
-1.26,0.220974,0.172145
-1.25,0.2227,0.173105
-1.24,0.224436,0.174065
-1.23,0.226181,0.175024
-1.22,0.227936,0.175982
-1.21,0.229701,0.176939
-1.2,0.231475,0.177895
-1.19,0.233259,0.17885
-1.18,0.235052,0.179803
-1.17,0.236855,0.180755
-1.16,0.238667,0.181706
-1.15,0.240489,0.182655
-1.14,0.24232,0.183602
-1.13,0.244161,0.184547
-1.12,0.246011,0.18549
-1.11,0.247871,0.186431
-1.1,0.24974,0.18737
-1.09,0.251618,0.188307
-1.08,0.253506,0.189241
-1.07,0.255403,0.190173
-1.06,0.257309,0.191102
-1.05,0.259225,0.192028
-1.04,0.26115,0.192951
-1.03,0.263084,0.193871
-1.02,0.265027,0.194788
-1.01,0.26698,0.195702
-1,0.268941,0.196612
-0.99,0.270912,0.197519
-0.98,0.272892,0.198422
-0.97,0.274881,0.199322
-0.96,0.276878,0.200217
-0.95,0.278885,0.201109
-0.94,0.2809,0.201996
-0.93,0.282925,0.202879
-0.92,0.284958,0.203757
-0.91,0.287,0.204631
-0.9,0.28905,0.205501
-0.89,0.29111,0.206365
-0.88,0.293178,0.207225
-0.87,0.295254,0.20808
-0.86,0.297339,0.208929
-0.85,0.299433,0.209773
-0.84,0.301535,0.210612
-0.83,0.303645,0.211445
-0.82,0.305764,0.212273
-0.81,0.30789,0.213094
-0.8,0.310026,0.21391
-0.79,0.312169,0.21472
-0.78,0.31432,0.215523
-0.77,0.316479,0.21632
-0.76,0.318646,0.217111
-0.75,0.320821,0.217895
-0.74,0.323004,0.218673
-0.73,0.325195,0.219444
-0.72,0.327393,0.220207
-0.71,0.329599,0.220964
-0.7,0.331812,0.221713
-0.69,0.334033,0.222455
-0.68,0.336261,0.22319
-0.67,0.338497,0.223917
-0.66,0.34074,0.224636
-0.65,0.34299,0.225348
-0.64,0.345247,0.226052
-0.63,0.347511,0.226747
-0.62,0.349781,0.227435
-0.61,0.352059,0.228114
-0.6,0.354344,0.228785
-0.59,0.356635,0.229447
-0.58,0.358933,0.2301
-0.57,0.361237,0.230745
-0.56,0.363547,0.231381
-0.55,0.365864,0.232008
